order_date,revenue,total_orders,items_sold,discounts,aov
2025-08-31,121567.46,230,486,1261.5,528.5541739130435
2025-09-01,76224.24,156,322,835.5,488.6169230769231
2025-09-02,82261.21,162,355,816.0,507.7852469135803
2025-09-03,99391.43,183,393,1021.5,543.1225683060109
2025-09-04,106762.44,196,451,981.5,544.7063265306123
2025-09-05,107148.34,215,448,1134.0,498.36437209302323
2025-09-06,122811.16,215,490,1187.0,571.2146976744186
2025-09-07,136403.95,249,557,1431.5,547.8070281124499
2025-09-08,96708.15,172,393,1117.0,562.2566860465116
2025-09-09,94413.92,177,399,902.0,533.4119774011299
2025-09-10,91216.68,176,384,977.0,518.2765909090908
2025-09-11,111167.71,203,465,1076.0,547.6241871921183
2025-09-12,104172.09,204,439,1028.5,510.6475
2025-09-13,130695.09,238,530,1338.5,549.1390336134453
2025-09-14,129130.08,244,546,1159.0,529.2216393442623
2025-09-15,94497.38,174,380,1002.5,543.0883908045977
2025-09-16,106719.92,183,431,892.0,583.1689617486338
2025-09-17,89122.96,166,369,991.0,536.8853012048194
2025-09-18,96964.9,189,413,732.5,513.0417989417989
2025-09-19,117833.64,214,484,1257.5,550.6244859813085
2025-09-20,130872.53,234,537,1389.5,559.2843162393162
2025-09-21,133022.41,260,561,1292.0,511.6246538461539
2025-09-22,89084.64,175,383,1067.5,509.0550857142857
2025-09-23,93098.78,172,389,1134.5,541.2719767441861
2025-09-24,96582.7,177,416,1096.5,545.6649717514124
2025-09-25,94506.32,181,392,1154.0,522.134364640884
2025-09-26,125073.92,221,506,1322.0,565.9453393665158
2025-09-27,117124.38,238,487,1553.0,492.119243697479
2025-09-28,149699.04,255,642,1679.5,587.0550588235294
2025-09-29,89601.24,171,377,935.5,523.9838596491228
2025-09-30,79313.34,159,342,923.5,498.826037735849
2025-10-01,105845.26,201,459,1325.0,526.5933333333334
2025-10-02,102193.36,195,426,1193.0,524.0685128205129
2025-10-03,107287.43,204,446,1051.5,525.9187745098039
2025-10-04,146056.58,286,621,1528.5,510.68734265734264
2025-10-05,127984.01,234,523,1450.5,546.9402136752136
2025-10-06,109342.29,200,435,1224.5,546.71145
2025-10-07,89488.87,163,369,1042.5,549.011472392638
2025-10-08,82323.71,154,344,746.5,534.5695454545455
2025-10-09,100899.77,205,433,675.0,492.194
2025-10-10,106695.77,200,439,1235.0,533.47885
2025-10-11,140219.65,257,576,1327.5,545.6017509727626
2025-10-12,138894.03,268,585,1560.0,518.2613059701492
2025-10-13,91755.83,180,386,1123.5,509.7546111111111
2025-10-14,102367.66,193,424,977.0,530.4023834196892
2025-10-15,99071.73,185,409,1066.0,535.5228648648648
2025-10-16,109521.84,199,449,1093.5,550.3610050251256
2025-10-17,109553.34,213,459,1053.5,514.3349295774648
2025-10-18,133964.26,257,561,1595.0,521.2617120622568
2025-10-19,121302.84,231,512,1213.5,525.1205194805194
2025-10-20,104093.34,197,409,1353.5,528.3925888324873
2025-10-21,95019.24,178,395,985.5,533.8159550561799
