order_id,order_datetime,order_date,channel,product,quantity,unit_price,discount,net_sales,gst,total_bill,payment_method
100001,2025-08-31 19:38:00,2025-08-31,Swiggy,Chicken Biryani,1,280,0.0,280.0,14.0,294.0,Cash
100001,2025-08-31 19:38:00,2025-08-31,Swiggy,Paneer Tikka,1,240,0.0,240.0,12.0,252.0,Card
100002,2025-08-31 22:32:00,2025-08-31,Dine-in,Butter Chicken,1,320,0.0,320.0,16.0,336.0,Cash
100003,2025-08-31 16:15:00,2025-08-31,Dine-in,Chicken Biryani,1,280,0.0,280.0,14.0,294.0,Card
100004,2025-08-31 21:06:00,2025-08-31,Takeaway,Chicken Biryani,2,280,20.0,540.0,27.0,567.0,Card
100005,2025-08-31 13:19:00,2025-08-31,Dine-in,Garlic Naan,1,70,10.0,60.0,3.0,63.0,UPI
100006,2025-08-31 15:03:00,2025-08-31,Takeaway,Butter Chicken,1,320,0.0,320.0,16.0,336.0,Card
100007,2025-08-31 22:35:00,2025-08-31,Swiggy,Veg Biryani,1,220,0.0,220.0,11.0,231.0,UPI
100007,2025-08-31 22:35:00,2025-08-31,Swiggy,Chicken Biryani,1,280,0.0,280.0,14.0,294.0,Card
100008,2025-08-31 16:59:00,2025-08-31,Takeaway,Chicken Biryani,1,280,0.0,280.0,14.0,294.0,UPI
100009,2025-08-31 16:10:00,2025-08-31,Takeaway,Garlic Naan,1,70,0.0,70.0,3.5,73.5,Card
100010,2025-08-31 21:08:00,2025-08-31,Swiggy,Mutton Biryani,1,360,0.0,360.0,18.0,378.0,Card
100010,2025-08-31 21:08:00,2025-08-31,Swiggy,Chicken Biryani,1,280,10.0,270.0,13.5,283.5,UPI
100011,2025-08-31 20:00:00,2025-08-31,Dine-in,Chicken Biryani,1,280,0.0,280.0,14.0,294.0,UPI
100011,2025-08-31 20:00:00,2025-08-31,Dine-in,Mutton Biryani,1,360,10.0,350.0,17.5,367.5,UPI
100012,2025-08-31 20:36:00,2025-08-31,Swiggy,Paneer Tikka,1,240,0.0,240.0,12.0,252.0,UPI
100013,2025-08-31 14:01:00,2025-08-31,Dine-in,Chicken Biryani,1,280,0.0,280.0,14.0,294.0,Card
100013,2025-08-31 14:01:00,2025-08-31,Dine-in,Paneer Butter Masala,1,260,0.0,260.0,13.0,273.0,UPI
100014,2025-08-31 16:26:00,2025-08-31,Zomato,Masala Dosa,1,140,0.0,140.0,7.0,147.0,UPI
100014,2025-08-31 16:26:00,2025-08-31,Zomato,Chicken Biryani,1,280,0.0,280.0,14.0,294.0,Card
100015,2025-08-31 19:40:00,2025-08-31,Dine-in,Chicken Biryani,1,280,0.0,280.0,14.0,294.0,Cash
100016,2025-08-31 14:55:00,2025-08-31,Swiggy,Paneer Butter Masala,1,260,0.0,260.0,13.0,273.0,UPI
100017,2025-08-31 16:01:00,2025-08-31,Zomato,Paneer Tikka,1,240,0.0,240.0,12.0,252.0,UPI
100017,2025-08-31 16:01:00,2025-08-31,Zomato,Butter Chicken,1,320,10.0,310.0,15.5,325.5,UPI
100018,2025-08-31 18:47:00,2025-08-31,Zomato,Chicken Biryani,1,280,10.0,270.0,13.5,283.5,UPI
100018,2025-08-31 18:47:00,2025-08-31,Zomato,Butter Chicken,1,320,0.0,320.0,16.0,336.0,Card
100019,2025-08-31 13:40:00,2025-08-31,Dine-in,Mutton Biryani,1,360,0.0,360.0,18.0,378.0,UPI
100019,2025-08-31 13:40:00,2025-08-31,Dine-in,Veg Biryani,2,220,10.0,430.0,21.5,451.5,UPI
100020,2025-08-31 21:56:00,2025-08-31,Swiggy,Chicken Biryani,2,280,0.0,560.0,28.0,588.0,Card
100020,2025-08-31 21:56:00,2025-08-31,Swiggy,Gulab Jamun,1,90,0.0,90.0,4.5,94.5,Card
100021,2025-08-31 21:53:00,2025-08-31,Zomato,Paneer Butter Masala,1,260,10.0,250.0,12.5,262.5,Cash
100021,2025-08-31 21:53:00,2025-08-31,Zomato,Chicken Biryani,1,280,0.0,280.0,14.0,294.0,Cash
100022,2025-08-31 14:17:00,2025-08-31,Dine-in,Paneer Tikka,1,240,0.0,240.0,12.0,252.0,UPI
100022,2025-08-31 14:17:00,2025-08-31,Dine-in,Gulab Jamun,1,90,0.0,90.0,4.5,94.5,Card
100023,2025-08-31 17:47:00,2025-08-31,Swiggy,Mutton Biryani,1,360,0.0,360.0,18.0,378.0,Card
100024,2025-08-31 21:26:00,2025-08-31,Takeaway,Mutton Biryani,1,360,10.0,350.0,17.5,367.5,UPI
100024,2025-08-31 21:26:00,2025-08-31,Takeaway,Paneer Butter Masala,1,260,0.0,260.0,13.0,273.0,Card
100025,2025-08-31 22:29:00,2025-08-31,Dine-in,Veg Biryani,2,220,20.0,420.0,21.0,441.0,Card
100025,2025-08-31 22:29:00,2025-08-31,Dine-in,Mutton Biryani,1,360,0.0,360.0,18.0,378.0,Card
100025,2025-08-31 22:29:00,2025-08-31,Dine-in,Chicken Biryani,1,280,0.0,280.0,14.0,294.0,Cash
100025,2025-08-31 22:29:00,2025-08-31,Dine-in,Paneer Butter Masala,2,260,0.0,520.0,26.0,546.0,Cash
100026,2025-08-31 19:21:00,2025-08-31,Dine-in,Chicken Biryani,1,280,0.0,280.0,14.0,294.0,Card
100027,2025-08-31 20:38:00,2025-08-31,Dine-in,Masala Dosa,1,140,10.0,130.0,6.5,136.5,Card
100028,2025-08-31 19:44:00,2025-08-31,Takeaway,Chicken Biryani,1,280,0.0,280.0,14.0,294.0,Card
100029,2025-08-31 19:31:00,2025-08-31,Dine-in,Chicken Biryani,1,280,0.0,280.0,14.0,294.0,Cash
100029,2025-08-31 19:31:00,2025-08-31,Dine-in,Paneer Tikka,1,240,0.0,240.0,12.0,252.0,Card
100030,2025-08-31 14:32:00,2025-08-31,Takeaway,Chicken Biryani,2,280,0.0,560.0,28.0,588.0,UPI
100030,2025-08-31 14:32:00,2025-08-31,Takeaway,Lime Soda,1,80,0.0,80.0,4.0,84.0,UPI
100030,2025-08-31 14:32:00,2025-08-31,Takeaway,Paneer Tikka,2,240,0.0,480.0,24.0,504.0,UPI
100031,2025-08-31 18:57:00,2025-08-31,Takeaway,Chicken Biryani,2,280,10.0,550.0,27.5,577.5,Cash
100032,2025-08-31 15:00:00,2025-08-31,Takeaway,Chicken Biryani,2,280,0.0,560.0,28.0,588.0,UPI
100032,2025-08-31 15:00:00,2025-08-31,Takeaway,Paneer Tikka,1,240,0.0,240.0,12.0,252.0,Card
100033,2025-08-31 19:50:00,2025-08-31,Dine-in,Chicken Biryani,1,280,10.0,270.0,13.5,283.5,Card
100033,2025-08-31 19:50:00,2025-08-31,Dine-in,Mutton Biryani,1,360,0.0,360.0,18.0,378.0,UPI
100034,2025-08-31 15:29:00,2025-08-31,Takeaway,Chicken Biryani,2,280,0.0,560.0,28.0,588.0,UPI
100034,2025-08-31 15:29:00,2025-08-31,Takeaway,Lime Soda,2,80,0.0,160.0,8.0,168.0,Cash
100035,2025-08-31 19:15:00,2025-08-31,Swiggy,Chicken Biryani,2,280,0.0,560.0,28.0,588.0,UPI
100035,2025-08-31 19:15:00,2025-08-31,Swiggy,Butter Chicken,1,320,0.0,320.0,16.0,336.0,Cash
100036,2025-08-31 18:32:00,2025-08-31,Zomato,Chicken Biryani,1,280,0.0,280.0,14.0,294.0,Cash
100036,2025-08-31 18:32:00,2025-08-31,Zomato,Paneer Tikka,1,240,0.0,240.0,12.0,252.0,UPI
100037,2025-08-31 17:50:00,2025-08-31,Swiggy,Chicken Biryani,1,280,0.0,280.0,14.0,294.0,Card
100038,2025-08-31 21:56:00,2025-08-31,Swiggy,Paneer Tikka,1,240,0.0,240.0,12.0,252.0,UPI
100038,2025-08-31 21:56:00,2025-08-31,Swiggy,Butter Chicken,1,320,0.0,320.0,16.0,336.0,Card
